N,age,FeH,Mini,Mf,logL,logT,logg,phase,G_EDR3,GBP_EDR3,GRP_EDR3,age_WD,disk_label
2.835348950186562e-08,9.6375,0.03852951115165981,3.35912,0.818,-4.33028,3.68223,3.21605,10.0,15.56642,16.07279,14.90181,9.35,1
4.207703262615853e-08,9.6375,0.03852951115165981,3.37017,0.82,-4.33072,3.68262,3.21665,10.0,15.56709,16.07252,14.90326,9.35,1
2.775325786343332e-08,9.6375,0.03852951115165981,3.38122,0.822,-4.3312,3.68299,3.21721,10.0,15.56786,16.07237,14.90479,9.35,1
2.7517957653008055e-08,9.6375,0.03852951115165981,3.39227,0.824,-4.33173,3.68336,3.21772,10.0,15.56877,16.0724,14.90643,9.35,1
2.7285337184207445e-08,9.6375,0.03852951115165981,3.40331,0.826,-4.33228,3.68372,3.21821,10.0,15.56975,16.0725,14.90812,9.35,1
2.7055358185289584e-08,9.6375,0.03852951115165981,3.41436,0.828,-4.33289,3.68406,3.21864,10.0,15.57086,16.07277,14.90993,9.35,1
4.015751246069493e-08,9.6375,0.03852951115165981,3.42541,0.83,-4.33354,3.6844,3.21903,10.0,15.57209,16.07318,14.91184,9.35,1
2.649172185036616e-08,9.6375,0.03852951115165981,3.43646,0.832,-4.33422,3.68473,3.21939,10.0,15.57339,16.07369,14.9138,9.35,1
2.6270695968986147e-08,9.6375,0.03852951115165981,3.44751,0.834,-4.3363,3.68471,3.21838,10.0,15.5785,16.07885,14.91887,9.375,1
2.605214727381593e-08,9.6375,0.03852951115165981,3.45856,0.836,-4.33707,3.68502,3.21865,10.0,15.58004,16.07963,14.92102,9.375,1
3.867377541122971e-08,9.6375,0.03852951115165981,3.46961,0.838,-4.33787,3.68532,3.2189,10.0,15.58165,16.08052,14.92324,9.375,1
2.5516386174046615e-08,9.6375,0.03852951115165981,3.48066,0.84,-4.33872,3.68561,3.2191,10.0,15.58339,16.08156,14.92556,9.375,1
2.5306237265848925e-08,9.6375,0.03852951115165981,3.49171,0.842,-4.3396,3.6859,3.21926,10.0,15.58522,16.08272,14.92796,9.375,1
2.509841341597707e-08,9.6375,0.03852951115165981,3.50276,0.844,-4.34054,3.68616,3.21936,10.0,15.58721,16.08407,14.93049,9.375,1
2.4892882362383815e-08,9.6375,0.03852951115165981,3.51381,0.846,-4.34151,3.68643,3.21944,10.0,15.58928,16.08552,14.93309,9.375,1
3.695889036875625e-08,9.6375,0.03852951115165981,3.52486,0.848,-4.34252,3.68668,3.21947,10.0,15.59145,16.08709,14.93577,9.375,1
2.4388878817716636e-08,9.6375,0.03852951115165981,3.53591,0.85,-4.34357,3.68692,3.21946,10.0,15.59376,16.08883,14.93856,9.375,1
2.4191126159289765e-08,9.6375,0.03852951115165981,3.54696,0.852,-4.34467,3.68715,3.21941,10.0,15.59616,16.09067,14.94142,9.375,1
2.3995527625129337e-08,9.6375,0.03852951115165981,3.55801,0.854,-4.34581,3.68737,3.21931,10.0,15.59869,16.09269,14.9444,9.375,1
2.3802053785266763e-08,9.6375,0.03852951115165981,3.56906,0.856,-4.34699,3.68758,3.21917,10.0,15.60134,16.09484,14.94747,9.375,1
3.534489387744035e-08,9.6375,0.03852951115165981,3.58011,0.858,-4.34953,3.68746,3.21771,10.0,15.60769,16.1015,14.95355,9.4,1
2.3327475923654446e-08,9.6375,0.03852951115165981,3.59116,0.86,-4.3508,3.68766,3.21748,10.0,15.61056,16.10393,14.95681,9.4,1
2.3141213645163635e-08,9.6375,0.03852951115165981,3.60221,0.862,-4.35211,3.68784,3.21722,10.0,15.61355,16.1065,14.96016,9.4,1
2.2956949473059965e-08,9.6375,0.03852951115165981,3.61326,0.864,-4.35347,3.688,3.21689,10.0,15.6167,16.10926,14.96364,9.4,1
2.2774656522829333e-08,9.6375,0.03852951115165981,3.62431,0.866,-4.35488,3.68816,3.21653,10.0,15.61994,16.11213,14.96719,9.4,1
3.3824432564395e-08,9.6375,0.03852951115165981,3.63536,0.868,-4.35633,3.68831,3.21612,10.0,15.62332,16.11518,14.97087,9.4,1
4.447915224133097e-08,9.6375,0.03852951115165981,3.64641,0.87,-4.35783,3.68844,3.21566,10.0,15.62683,16.11838,14.97464,9.4,1
5.462331119682382e-08,9.6375,0.03852951115165981,3.67665,0.872,-4.35936,3.68857,3.21517,10.0,15.63041,16.12167,14.97849,9.4,1
5.356567370623176e-08,9.6375,0.03852951115165981,3.7006,0.874,-4.36087,3.6887,3.21469,10.0,15.63395,16.12491,14.98229,9.4,1
5.253544081081513e-08,9.6375,0.03852951115165981,3.72455,0.876,-4.36375,3.6885,3.21287,10.0,15.64124,16.13272,14.98914,9.425,1
5.153172534253482e-08,9.6375,0.03852951115165981,3.7485,0.878,-4.36526,3.68863,3.21238,10.0,15.64477,16.13596,14.99294,9.425,1
4.0519979580283265e-08,9.6375,0.03852951115165981,3.77246,0.88,-4.36676,3.68876,3.2119,10.0,15.64828,16.13917,14.99671,9.425,1
4.9789160303653207e-08,9.6375,0.03852951115165981,3.79641,0.882,-4.36825,3.6889,3.21142,10.0,15.65178,16.14236,15.00048,9.425,1
4.885526063457506e-08,9.6375,0.03852951115165981,3.82036,0.884,-4.36974,3.68903,3.21095,10.0,15.65525,16.14552,15.00422,9.425,1
4.7944807796253545e-08,9.6375,0.03852951115165981,3.84431,0.886,-4.37121,3.68917,3.21048,10.0,15.65869,16.14865,15.00794,9.425,1
4.705706616847786e-08,9.6375,0.03852951115165981,3.86826,0.888,-4.3727,3.68931,3.21,10.0,15.66215,16.15181,15.01168,9.425,1
3.702128823530119e-08,9.6375,0.03852951115165981,3.89222,0.89,-4.3756,3.68909,3.20812,10.0,15.66952,16.15972,15.0186,9.45,1
4.551412048641491e-08,9.6375,0.03852951115165981,3.91617,0.892,-4.37707,3.68923,3.20765,10.0,15.67295,16.16283,15.02231,9.45,1
4.4686287358393076e-08,9.6375,0.03852951115165981,3.94012,0.894,-4.37854,3.68937,3.20717,10.0,15.67638,16.16596,15.02602,9.45,1
4.387861203520413e-08,9.6375,0.03852951115165981,3.96407,0.896,-4.38,3.68951,3.20671,10.0,15.67978,16.16904,15.02971,9.45,1
3.453451720706489e-08,9.6375,0.03852951115165981,3.98802,0.898,-4.38146,3.68965,3.20624,10.0,15.68319,16.17213,15.0334,9.45,1
4.247365013261493e-08,9.6375,0.03852951115165981,4.01198,0.9,-4.38292,3.68979,3.20577,10.0,15.68658,16.1752,15.03708,9.45,1
4.171922361319071e-08,9.6375,0.03852951115165981,4.03593,0.902,-4.38437,3.68994,3.20531,10.0,15.68994,16.17823,15.04074,9.45,1
4.098273955572391e-08,9.6375,0.03852951115165981,4.05988,0.904,-4.38582,3.69008,3.20485,10.0,15.69332,16.18128,15.04441,9.45,1
4.0263664526979816e-08,9.6375,0.03852951115165981,4.08383,0.906,-4.3888,3.68985,3.20288,10.0,15.70088,16.18943,15.05148,9.475,1
3.170456758094458e-08,9.6375,0.03852951115165981,4.10778,0.908,-4.39025,3.68999,3.20241,10.0,15.70426,16.19249,15.05516,9.475,1
3.9011569777605856e-08,9.6375,0.03852951115165981,4.13174,0.91,-4.3917,3.69013,3.20194,10.0,15.70764,16.19554,15.05883,9.475,1
3.833856084452929e-08,9.6375,0.03852951115165981,4.15569,0.912,-4.39315,3.69028,3.20147,10.0,15.71102,16.1986,15.06251,9.475,1
3.7681100557474096e-08,9.6375,0.03852951115165981,4.17964,0.914,-4.3946,3.69042,3.201,10.0,15.71439,16.20163,15.06618,9.475,1
3.70387397855436e-08,9.6375,0.03852951115165981,4.20359,0.916,-4.39605,3.69057,3.20054,10.0,15.71777,16.20467,15.06985,9.475,1
2.917836175832877e-08,9.6375,0.03852951115165981,4.22754,0.918,-4.3975,3.69071,3.20007,10.0,15.72115,16.20772,15.07353,9.475,1
3.5919166688168886e-08,9.6375,0.03852951115165981,4.2515,0.92,-4.39895,3.69086,3.1996,10.0,15.72453,16.21076,15.07721,9.475,1
3.531682507920538e-08,9.6375,0.03852951115165981,4.27545,0.922,-4.40041,3.69101,3.19913,10.0,15.7279,16.2138,15.08088,9.475,1
3.4728012796494755e-08,9.6375,0.03852951115165981,4.2994,0.924,-4.40186,3.69116,3.19866,10.0,15.73129,16.21685,15.08457,9.475,1
