# t[Gyr], SFR_tot/<SFR_tot>
1.587500000000000355e+00 1.547606853874790689e+00
1.612500000000000266e+00 1.537271115180568914e+00
1.637500000000000178e+00 1.527543642482751984e+00
1.662500000000000311e+00 1.518397000850897349e+00
1.687500000000000222e+00 1.509803802101685744e+00
1.712500000000000355e+00 1.501736846265564918e+00
1.737500000000000266e+00 1.494169244279625275e+00
1.762500000000000400e+00 1.487074523585421471e+00
1.787500000000000311e+00 1.480426718201287350e+00
1.812500000000000222e+00 1.474200444732650883e+00
1.837500000000000355e+00 1.468370965681460083e+00
1.862500000000000266e+00 1.462914241317470498e+00
1.887500000000000400e+00 1.457806971280132702e+00
1.912500000000000311e+00 1.453026626990245651e+00
1.937500000000000222e+00 1.448551475865674121e+00
1.962500000000000355e+00 1.444360598255114869e+00
1.987500000000000266e+00 1.440433897928277363e+00
2.012500000000000622e+00 1.436752106889793712e+00
2.037500000000000533e+00 1.433296785217555325e+00
2.062500000000000444e+00 1.430050316563980184e+00
2.087500000000000799e+00 1.426995899900687537e+00
2.112500000000000711e+00 1.424117538033099262e+00
2.137500000000000622e+00 1.421400023361409692e+00
2.162500000000000533e+00 1.418828921317968339e+00
2.187500000000000444e+00 1.416390551868294656e+00
2.212500000000000799e+00 1.414071969423354780e+00
2.237500000000000711e+00 1.411860941474370357e+00
2.262500000000000622e+00 1.409745926227988111e+00
2.287500000000000533e+00 1.407716049488948240e+00
2.312500000000000444e+00 1.405761081009366142e+00
2.337500000000000799e+00 1.403871410498072514e+00
2.362500000000000711e+00 1.402038023460094651e+00
2.387500000000000622e+00 1.400252477015115238e+00
2.412500000000000533e+00 1.398506875824395923e+00
2.437500000000000444e+00 1.396793848238202962e+00
2.462500000000000799e+00 1.395106522759897327e+00
2.487500000000000711e+00 1.393438504908612430e+00
2.512500000000000622e+00 1.391783854549582644e+00
2.537500000000000533e+00 1.390137063749630197e+00
2.562500000000000888e+00 1.388493035205012660e+00
2.587500000000000799e+00 1.386847061279572024e+00
2.612500000000000711e+00 1.385194803682923803e+00
2.637500000000000622e+00 1.383532273811128865e+00
2.662500000000000533e+00 1.381855813765816565e+00
2.687500000000000888e+00 1.380162078062080022e+00
2.712500000000000799e+00 1.378448016030415557e+00
2.737500000000000711e+00 1.376710854913675952e+00
2.762500000000000622e+00 1.374948083656186260e+00
2.787500000000000533e+00 1.373157437378909940e+00
2.812500000000000888e+00 1.371336882531766888e+00
2.837500000000000799e+00 1.369484602711789956e+00
2.862500000000000711e+00 1.367598985133836376e+00
2.887500000000000622e+00 1.365678607738882056e+00
2.912500000000000533e+00 1.363722226923563596e+00
2.937500000000000888e+00 1.361728765873551517e+00
2.962500000000000799e+00 1.359697303482452657e+00
2.987500000000000711e+00 1.357627063837331782e+00
3.012500000000000622e+00 1.355517406251444346e+00
3.037500000000000977e+00 1.353367815824510156e+00
3.062500000000000888e+00 1.351177894510697364e+00
3.087500000000000799e+00 1.348947352674449762e+00
3.112500000000000711e+00 1.346676001114387011e+00
3.137500000000000622e+00 1.344363743535697431e+00
3.162500000000000977e+00 1.342010569451659530e+00
