# t[Gyr], SFR_thin.d/<SFR_thin.d>
1.162500000000000089e+00 1.230086508935536393e+00
1.187500000000000222e+00 1.245869019816112422e+00
1.212500000000000133e+00 1.261182120823752362e+00
1.237500000000000266e+00 1.276034739316036726e+00
1.262500000000000178e+00 1.290435689853566270e+00
1.287500000000000311e+00 1.304393673180230806e+00
1.312500000000000222e+00 1.317917275261396126e+00
1.337500000000000133e+00 1.331014966406621758e+00
1.362500000000000266e+00 1.343695100495523542e+00
1.387500000000000178e+00 1.355965914319250620e+00
1.412500000000000311e+00 1.367835527045142108e+00
1.437500000000000222e+00 1.379311939808445686e+00
1.462500000000000133e+00 1.390403035432112189e+00
1.487500000000000266e+00 1.401116578273455593e+00
1.512500000000000178e+00 1.411460214194893759e+00
1.537500000000000311e+00 1.421441470654700501e+00
1.562500000000000222e+00 1.431067756912896671e+00
1.587500000000000355e+00 1.440346364346768437e+00
1.612500000000000266e+00 1.449284466870099042e+00
1.637500000000000178e+00 1.457889121450034686e+00
1.662500000000000311e+00 1.466167268715319771e+00
1.687500000000000222e+00 1.474125733649709558e+00
1.712500000000000355e+00 1.481771226364410721e+00
1.737500000000000266e+00 1.489110342943544829e+00
1.762500000000000400e+00 1.496149566356808736e+00
1.787500000000000311e+00 1.502895267433695059e+00
1.812500000000000222e+00 1.509353705893897057e+00
1.837500000000000355e+00 1.515531031428729580e+00
1.862500000000000266e+00 1.521433284828668020e+00
1.887500000000000400e+00 1.527066399152371190e+00
1.912500000000000311e+00 1.532436200932760562e+00
1.937500000000000222e+00 1.537548411416037153e+00
1.962500000000000355e+00 1.542408647829719648e+00
1.987500000000000266e+00 1.547022424676028907e+00
2.012500000000000622e+00 1.551395155047213148e+00
2.037500000000000533e+00 1.555532151959560627e+00
2.062500000000000444e+00 1.559438629703121748e+00
2.087500000000000799e+00 1.563119705204328413e+00
2.112500000000000711e+00 1.566580399398903811e+00
2.137500000000000622e+00 1.569825638612638574e+00
2.162500000000000533e+00 1.572860255947766905e+00
2.187500000000000444e+00 1.575688992672879429e+00
2.212500000000000799e+00 1.578316499614407009e+00
2.237500000000000711e+00 1.580747338547907832e+00
2.262500000000000622e+00 1.582985983587506196e+00
2.287500000000000533e+00 1.585036822571942672e+00
2.312500000000000444e+00 1.586904158445864299e+00
2.337500000000000799e+00 1.588592210635045854e+00
2.362500000000000711e+00 1.590105116414370023e+00
2.387500000000000622e+00 1.591446932267498227e+00
2.412500000000000533e+00 1.592621635237226441e+00
2.437500000000000444e+00 1.593633124265661172e+00
2.462500000000000799e+00 1.594485221523369800e+00
2.487500000000000711e+00 1.595181673726785210e+00
2.512500000000000622e+00 1.595726153443204787e+00
2.537500000000000533e+00 1.596122260382764058e+00
2.562500000000000888e+00 1.596373522676879819e+00
2.587500000000000799e+00 1.596483398142659160e+00
2.612500000000000711e+00 1.596455275532864038e+00
2.637500000000000622e+00 1.596292475771061925e+00
2.662500000000000533e+00 1.595998253171621251e+00
2.687500000000000888e+00 1.595575796644303823e+00
2.712500000000000799e+00 1.595028230883168696e+00
2.737500000000000711e+00 1.594358617539624268e+00
2.762500000000000622e+00 1.593569956379438768e+00
