# t[Gyr], SFR_tot[Msun/pc^2/Gyr]
3.312500000000000888e+00 5.237739430025674103e+00
3.337500000000000799e+00 5.227343271743492892e+00
3.362500000000000711e+00 5.216794619127833599e+00
3.387500000000000622e+00 5.206095461805296587e+00
3.412500000000000977e+00 5.195247925429184122e+00
3.437500000000000888e+00 5.184254257743281080e+00
3.462500000000000799e+00 5.173116815565647286e+00
3.487500000000000711e+00 5.161838052641957830e+00
3.512500000000001066e+00 5.150420508320144641e+00
3.537500000000000977e+00 5.138866797000062547e+00
3.562500000000000888e+00 5.127179598314244302e+00
3.587500000000000799e+00 5.115361647997571204e+00
3.612500000000000711e+00 5.103415729405920587e+00
3.637500000000001066e+00 5.091344665645606504e+00
3.662500000000000977e+00 5.079151312277427444e+00
3.687500000000000888e+00 5.066838550560857080e+00
3.712500000000000799e+00 5.054409281205712645e+00
3.737500000000000711e+00 5.041866418600282174e+00
3.762500000000001066e+00 5.029212885486569640e+00
3.787500000000000977e+00 5.016451608054786959e+00
3.812500000000000888e+00 5.003585511430844512e+00
3.837500000000000799e+00 4.990617515531841519e+00
3.862500000000000711e+00 4.977550531266117240e+00
3.887500000000001066e+00 4.964387457055579489e+00
3.912500000000000977e+00 4.951131175659376993e+00
3.937500000000000888e+00 4.937784551279110090e+00
3.962500000000000799e+00 4.924350426926947577e+00
3.987500000000001155e+00 4.910831622039045108e+00
4.012500000000001066e+00 4.897299678301830106e+00
4.037500000000000533e+00 4.883751068094036363e+00
4.062500000000000888e+00 4.870118184641495596e+00
4.087500000000001243e+00 4.856404299871831753e+00
4.112500000000000711e+00 4.842612613983912517e+00
4.137500000000001066e+00 4.828746256893372113e+00
4.162500000000001421e+00 4.814808289649684880e+00
4.187500000000000888e+00 4.800801705825410437e+00
4.212500000000001243e+00 4.786729432877970147e+00
4.237500000000000711e+00 4.772594333484645901e+00
4.262500000000001066e+00 4.758399206851185781e+00
4.287500000000001421e+00 4.744146789994527325e+00
4.312500000000000888e+00 4.729839759000223687e+00
4.337500000000001243e+00 4.715480730254888009e+00
4.362500000000000711e+00 4.701072261654301698e+00
4.387500000000001066e+00 4.686616853787544557e+00
4.412500000000001421e+00 4.672116951097612159e+00
4.437500000000000888e+00 4.657574943019055169e+00
4.462500000000001243e+00 4.642993165092962116e+00
4.487500000000000711e+00 4.628373900059825630e+00
4.512500000000001066e+00 4.613719378930666970e+00
4.537500000000001421e+00 4.599031782036835381e+00
4.562500000000000888e+00 4.584313240058954797e+00
4.587500000000001243e+00 4.569565835035334977e+00
4.612500000000000711e+00 4.554791601350326680e+00
4.637500000000001066e+00 4.539992526702977926e+00
4.662500000000001421e+00 4.525170553056353739e+00
4.687500000000000888e+00 4.510327577567976753e+00
4.712500000000001243e+00 4.495465453501645392e+00
4.737500000000000711e+00 4.480585991121103895e+00
4.762500000000001066e+00 4.465690958565867064e+00
4.787500000000001421e+00 4.450782082709517695e+00
4.812500000000000888e+00 4.435861050000950989e+00
4.837500000000001243e+00 4.420929507288714255e+00
4.862500000000000711e+00 4.405989062628961506e+00
4.887500000000001066e+00 4.391041286077223660e+00
4.912500000000001421e+00 4.376087710464346081e+00
4.937500000000000888e+00 4.361129832156980690e+00
4.962500000000001243e+00 4.346169111802773877e+00
4.987500000000000711e+00 4.331206975060760911e+00
5.012500000000001066e+00 4.316244813317097417e+00
5.037500000000001421e+00 4.301283984386472525e+00
5.062500000000000888e+00 4.286325813199558965e+00
5.087500000000001243e+00 4.271371592476635115e+00
5.112500000000001599e+00 4.256422583387791114e+00
5.137500000000001066e+00 4.241480016199912662e+00
5.162500000000001421e+00 4.226545090910720504e+00
5.187500000000000888e+00 4.211618977870152492e+00
5.212500000000001243e+00 4.196702818389271172e+00
5.237500000000001599e+00 4.181797725337040639e+00
5.262500000000001066e+00 4.166904783725150274e+00
5.287500000000001421e+00 4.152025051281115431e+00
5.312500000000000888e+00 4.137159559009977450e+00
5.337500000000001243e+00 4.122309311744699833e+00
5.362500000000001599e+00 4.107475288685607850e+00
5.387500000000001066e+00 4.092658443929019896e+00
5.412500000000001421e+00 4.077859706985301536e+00
5.437500000000000888e+00 4.063079983286599806e+00
5.462500000000001243e+00 4.048320154684352801e+00
5.487500000000001599e+00 4.033581079936936042e+00
5.512500000000001066e+00 4.018863595187502469e+00
5.537500000000001421e+00 4.004168514432284276e+00
5.562500000000000888e+00 3.989496629979555120e+00
5.587500000000001243e+00 3.974848712899380576e+00
5.612500000000001599e+00 3.960225513464424196e+00
5.637500000000001066e+00 3.945627761581905091e+00
5.662500000000001421e+00 3.931056167216949060e+00
5.687500000000000888e+00 3.916511420807484711e+00
5.712500000000001243e+00 3.901994193670820454e+00
5.737500000000001599e+00 3.887505138402138627e+00
5.762500000000001066e+00 3.873044889265011559e+00
5.787500000000001421e+00 3.858614062574112769e+00
5.812500000000000888e+00 3.844213257070310252e+00
5.837500000000001243e+00 3.829843054288247561e+00
5.862500000000001599e+00 3.815504018916607620e+00
5.887500000000001066e+00 3.801196699151176084e+00
5.912500000000001421e+00 3.786921627040866323e+00
5.937500000000000888e+00 3.772679318826853478e+00
5.962500000000001243e+00 3.758470275274925054e+00
5.987500000000001599e+00 3.744294982001240779e+00
6.012500000000001066e+00 3.730153909791579458e+00
6.037500000000001421e+00 3.716047514914236682e+00
6.062500000000001776e+00 3.701976239426734594e+00
6.087500000000001243e+00 3.687940511476371253e+00
6.112500000000001599e+00 3.673940745594880486e+00
6.137500000000001066e+00 3.659977342987209337e+00
6.162500000000001421e+00 3.646050691814582301e+00
6.187500000000001776e+00 3.632161167472024221e+00
6.212500000000001243e+00 3.618309132860357380e+00
6.237500000000001599e+00 3.604494938652922364e+00
6.262500000000001066e+00 3.590718923557054243e+00
6.287500000000001421e+00 3.576981414570486351e+00
6.312500000000001776e+00 3.563282727232812697e+00
6.337500000000001243e+00 3.549623165872101804e+00
6.362500000000001599e+00 3.536003023846869375e+00
6.387500000000001066e+00 3.522422583783467065e+00
6.412500000000001421e+00 3.508882117809098755e+00
6.437500000000001776e+00 3.495381887780613983e+00
6.462500000000001243e+00 3.481922145509180222e+00
6.487500000000001599e+00 3.468503132981120896e+00
6.512500000000001066e+00 3.455125082575004392e+00
6.537500000000001421e+00 3.441788217275249195e+00
6.562500000000001776e+00 3.428492750882492501e+00
6.587500000000001243e+00 3.415238888220895497e+00
6.612500000000001599e+00 3.402026825342760574e+00
6.637500000000001066e+00 3.388856749730708273e+00
6.662500000000001421e+00 3.375728840497786543e+00
6.687500000000001776e+00 3.362643268585935985e+00
6.712500000000001243e+00 3.349600196963189003e+00
6.737500000000001599e+00 3.336599780820213468e+00
6.762500000000001066e+00 3.323642167766679645e+00
6.787500000000001421e+00 3.310727498028170679e+00
6.812500000000001776e+00 3.297855904644385827e+00
6.837500000000001243e+00 3.285027513669431354e+00
6.862500000000001599e+00 3.272242444375274228e+00
6.887500000000001954e+00 3.259500809459362713e+00
6.912500000000001421e+00 3.246802715257766536e+00
6.937500000000001776e+00 3.234148261965233306e+00
6.962500000000001243e+00 3.221537543863803865e+00
6.987500000000001599e+00 3.208970649561883270e+00
7.012500000000001954e+00 3.196447662245847532e+00
7.037500000000001421e+00 3.183968659946608604e+00
7.062500000000001776e+00 3.171533715823862121e+00
7.087500000000001243e+00 3.159142898471046124e+00
7.112500000000001599e+00 3.146796272244545722e+00
7.137500000000001954e+00 3.134493897620974856e+00
7.162500000000001421e+00 3.122235831586956056e+00
7.187500000000001776e+00 3.110022128066309843e+00
7.212500000000001243e+00 3.097852838390143138e+00
7.237500000000001599e+00 3.085728011816008198e+00
7.262500000000001954e+00 3.073647696102943083e+00
7.287500000000001421e+00 3.061611938150040402e+00
7.312500000000001776e+00 3.049620784706983834e+00
7.337500000000001243e+00 3.037674283165866296e+00
7.362500000000001599e+00 3.025772482444657463e+00
7.387500000000001954e+00 3.013915433973625380e+00
