# t[Gyr], SFR_thick.d/<SFR_thick.d>
3.437500000000000888e+00 6.411682687126444592e-05
3.462500000000000799e+00 5.869413467397527719e-05
3.487500000000000711e+00 5.363746482208756018e-05
3.512500000000001066e+00 4.892181544161229996e-05
3.537500000000000977e+00 4.452384138337668102e-05
3.562500000000000888e+00 4.042174843869922503e-05
3.587500000000000799e+00 3.659519395939830422e-05
3.612500000000000711e+00 3.302519352574386126e-05
3.637500000000001066e+00 2.969403332288850640e-05
3.662500000000000977e+00 2.658518790272036803e-05
3.687500000000000888e+00 2.368324302396025626e-05
3.712500000000000799e+00 2.097382327865560328e-05
3.737500000000000711e+00 1.844352422800361334e-05
3.762500000000001066e+00 1.607984878466200084e-05
3.787500000000000977e+00 1.387114759237168558e-05
3.812500000000000888e+00 1.180656316683467407e-05
3.837500000000000799e+00 9.875977574358076551e-06
3.862500000000000711e+00 8.069963436805905002e-06
3.887500000000001066e+00 6.379738062901558458e-06
3.912500000000000977e+00 4.797120516905128902e-06
3.937500000000000888e+00 3.314491446167736115e-06
3.962500000000000799e+00 1.924755499048376820e-06
3.987500000000001155e+00 6.213061741851402670e-07
