# t[Gyr], [Fe/H]_thick.d
2.587500000000000799e+00 3.275303825004083347e-02
2.612500000000000711e+00 3.311585191050814281e-02
2.637500000000000622e+00 3.346056221036697309e-02
2.662500000000000533e+00 3.378806654284560729e-02
2.687500000000000888e+00 3.409921839326224280e-02
2.712500000000000799e+00 3.439482943111926705e-02
2.737500000000000711e+00 3.467567150802974840e-02
2.762500000000000622e+00 3.494247856516841111e-02
2.787500000000000533e+00 3.519594845384854676e-02
2.812500000000000888e+00 3.543674467273172368e-02
2.837500000000000799e+00 3.566549802508633960e-02
2.862500000000000711e+00 3.588280819941003230e-02
2.887500000000000622e+00 3.608924527663015525e-02
2.912500000000000533e+00 3.628535116699693752e-02
2.937500000000000888e+00 3.647164097968291774e-02
2.962500000000000799e+00 3.664860432799466050e-02
2.987500000000000711e+00 3.681670657301150396e-02
3.012500000000000622e+00 3.697639000835428735e-02
3.037500000000000977e+00 3.712807498869707956e-02
3.062500000000000888e+00 3.727216100453156766e-02
3.087500000000000799e+00 3.740902770559917379e-02
3.112500000000000711e+00 3.753903587531381980e-02
3.137500000000000622e+00 3.766252835840355750e-02
3.162500000000000977e+00 3.777983094391090813e-02
3.187500000000000888e+00 3.789125320560571275e-02
3.212500000000000799e+00 3.799708930177703170e-02
3.237500000000000711e+00 3.809761873628958462e-02
3.262500000000000622e+00 3.819310708271184129e-02
3.287500000000000977e+00 3.828380667324216002e-02
3.312500000000000888e+00 3.836995725408942626e-02
3.337500000000000799e+00 3.845178660888781685e-02
3.362500000000000711e+00 3.852951115165981211e-02
3.387500000000000622e+00 3.860333649077207774e-02
3.412500000000000977e+00 3.867345796526555635e-02
3.437500000000000888e+00 3.874006115487960145e-02
3.462500000000000799e+00 3.880332236502759269e-02
3.487500000000000711e+00 3.886340908792895732e-02
3.512500000000001066e+00 3.892048044104323701e-02
3.537500000000000977e+00 3.897468758390010279e-02
3.562500000000000888e+00 3.902617411437203643e-02
3.587500000000000799e+00 3.907507644538199543e-02
3.612500000000000711e+00 3.912152416299796709e-02
3.637500000000001066e+00 3.916564036681746686e-02
3.662500000000000977e+00 3.920754199350517943e-02
3.687500000000000888e+00 3.924734012430486363e-02
3.712500000000000799e+00 3.928514027730845015e-02
3.737500000000000711e+00 3.932104268522851331e-02
3.762500000000001066e+00 3.935514255938321604e-02
3.787500000000000977e+00 3.938753034057096425e-02
3.812500000000000888e+00 3.941829193747670157e-02
3.837500000000000799e+00 3.944750895322735040e-02
3.862500000000000711e+00 3.947525890067282717e-02
3.887500000000001066e+00 3.950161540695484863e-02
3.912500000000000977e+00 3.952664840788788769e-02
3.937500000000000888e+00 3.955042433265665291e-02
3.962500000000000799e+00 3.957300627930715464e-02
3.987500000000001155e+00 3.959445418149032392e-02
