# t[Gyr], [Fe/H]_thin.d
1.462500000000000133e+00 -3.738379049349363492e-01
1.487500000000000266e+00 -3.714924649321392214e-01
1.512500000000000178e+00 -3.691659217174609320e-01
1.537500000000000311e+00 -3.668577551130146053e-01
1.562500000000000222e+00 -3.645674670474455259e-01
1.587500000000000355e+00 -3.622945802777001734e-01
1.612500000000000266e+00 -3.600386372035972449e-01
1.637500000000000178e+00 -3.577991987671347851e-01
1.662500000000000311e+00 -3.555758434292769499e-01
1.687500000000000222e+00 -3.533681662176890170e-01
1.712500000000000355e+00 -3.511757778395248053e-01
1.737500000000000266e+00 -3.489983038539421489e-01
1.762500000000000400e+00 -3.468353838995236749e-01
1.787500000000000311e+00 -3.446866709722385402e-01
1.812500000000000222e+00 -3.425518307499781367e-01
1.837500000000000355e+00 -3.404305409600607013e-01
1.862500000000000266e+00 -3.383224907864307296e-01
1.887500000000000400e+00 -3.362273803135580885e-01
1.912500000000000311e+00 -3.341449200043151713e-01
1.937500000000000222e+00 -3.320748302093349813e-01
1.962500000000000355e+00 -3.300168407055787956e-01
1.987500000000000266e+00 -3.279706902620158626e-01
2.012500000000000622e+00 -3.259361262305117135e-01
2.037500000000000533e+00 -3.239129041601593317e-01
2.062500000000000444e+00 -3.219007874334463004e-01
2.087500000000000799e+00 -3.198995469227674526e-01
2.112500000000000711e+00 -3.179089606659190048e-01
2.137500000000000622e+00 -3.159288135593117941e-01
2.162500000000000533e+00 -3.139588970677418822e-01
2.187500000000000444e+00 -3.119990089496429420e-01
2.212500000000000799e+00 -3.100489529968293856e-01
2.237500000000000711e+00 -3.081085387878085835e-01
2.262500000000000622e+00 -3.061775814538137963e-01
2.287500000000000533e+00 -3.042559014567679521e-01
2.312500000000000444e+00 -3.023433243784462987e-01
2.337500000000000799e+00 -3.004396807201566433e-01
2.362500000000000711e+00 -2.985448057123117893e-01
2.387500000000000622e+00 -2.966585391332975941e-01
2.412500000000000533e+00 -2.947807251370975212e-01
2.437500000000000444e+00 -2.929112120891625426e-01
2.462500000000000799e+00 -2.910498524100486595e-01
2.487500000000000711e+00 -2.891965024263836170e-01
2.512500000000000622e+00 -2.873510222287462557e-01
2.537500000000000533e+00 -2.855132755360739183e-01
2.562500000000000888e+00 -2.836831295662357033e-01
2.587500000000000799e+00 -2.818604549124360537e-01
2.612500000000000711e+00 -2.800451254251281052e-01
2.637500000000000622e+00 -2.782370180991465825e-01
2.662500000000000533e+00 -2.764360129657771892e-01
2.687500000000000888e+00 -2.746419929895050904e-01
2.712500000000000799e+00 -2.728548439691977912e-01
2.737500000000000711e+00 -2.710744544434927072e-01
2.762500000000000622e+00 -2.693007156001724356e-01
2.787500000000000533e+00 -2.675335211893284382e-01
2.812500000000000888e+00 -2.657727674401174633e-01
2.837500000000000799e+00 -2.640183529809375096e-01
2.862500000000000711e+00 -2.622701787628480274e-01
2.887500000000000622e+00 -2.605281479860794835e-01
2.912500000000000533e+00 -2.587921660294802972e-01
2.937500000000000888e+00 -2.570621403827597629e-01
2.962500000000000799e+00 -2.553379805813938419e-01
2.987500000000000711e+00 -2.536195981440670932e-01
3.012500000000000622e+00 -2.519069065125310036e-01
3.037500000000000977e+00 -2.501998209937686402e-01
3.062500000000000888e+00 -2.484982587043550462e-01
3.087500000000000799e+00 -2.468021385169164028e-01
3.112500000000000711e+00 -2.451113810085902567e-01
3.137500000000000622e+00 -2.434259084113969407e-01
3.162500000000000977e+00 -2.417456445644388663e-01
3.187500000000000888e+00 -2.400705148678419221e-01
3.212500000000000799e+00 -2.384004462383670919e-01
3.237500000000000711e+00 -2.367353670666156873e-01
3.262500000000000622e+00 -2.350752071757620243e-01
3.287500000000000977e+00 -2.334198977817444898e-01
3.312500000000000888e+00 -2.317693714548568762e-01
3.337500000000000799e+00 -2.301235620826760364e-01
3.362500000000000711e+00 -2.284824048342730118e-01
3.387500000000000622e+00 -2.268458361256521227e-01
3.412500000000000977e+00 -2.252137935863702256e-01
3.437500000000000888e+00 -2.235862160272820698e-01
3.462500000000000799e+00 -2.219630434093696758e-01
3.487500000000000711e+00 -2.203442168136134360e-01
3.512500000000001066e+00 -2.187296784118576976e-01
3.537500000000000977e+00 -2.171193714386353557e-01
3.562500000000000888e+00 -2.155132401639113793e-01
3.587500000000000799e+00 -2.139112298667096290e-01
3.612500000000000711e+00 -2.123132868095899961e-01
3.637500000000001066e+00 -2.107193582139378907e-01
3.662500000000000977e+00 -2.091293922360408786e-01
3.687500000000000888e+00 -2.075433379439186599e-01
3.712500000000000799e+00 -2.059611452948784671e-01
3.737500000000000711e+00 -2.043827651137666845e-01
3.762500000000001066e+00 -2.028081490718954827e-01
3.787500000000000977e+00 -2.012372496666139376e-01
3.812500000000000888e+00 -1.996700202015012637e-01
3.837500000000000799e+00 -1.981064147671622866e-01
3.862500000000000711e+00 -1.965463882225980674e-01
3.887500000000001066e+00 -1.949898961771352468e-01
3.912500000000000977e+00 -1.934368949728904052e-01
3.937500000000000888e+00 -1.918873416677533417e-01
3.962500000000000799e+00 -1.903411940188682872e-01
3.987500000000001155e+00 -1.887984104665966223e-01
4.012500000000001066e+00 -1.872589501189444450e-01
4.037500000000000533e+00 -1.857227727364367809e-01
4.062500000000000888e+00 -1.841898387174262242e-01
4.087500000000001243e+00 -1.826601090838162467e-01
4.112500000000000711e+00 -1.811335454671920697e-01
4.137500000000001066e+00 -1.796101100953354512e-01
4.162500000000001421e+00 -1.780897657791203903e-01
4.187500000000000888e+00 -1.765724758997690991e-01
4.212500000000001243e+00 -1.750582043964615808e-01
4.237500000000000711e+00 -1.735469157542822716e-01
4.262500000000001066e+00 -1.720385749924976393e-01
4.287500000000001421e+00 -1.705331476531491974e-01
4.312500000000000888e+00 -1.690305997899549384e-01
4.337500000000001243e+00 -1.675308979575065305e-01
4.362500000000000711e+00 -1.660340092007555057e-01
4.387500000000001066e+00 -1.645399010447756716e-01
4.412500000000001421e+00 -1.630485414847977488e-01
4.437500000000000888e+00 -1.615598989765011373e-01
4.462500000000001243e+00 -1.600739424265609223e-01
4.487500000000000711e+00 -1.585906411834381302e-01
4.512500000000001066e+00 -1.571099650284070171e-01
4.537500000000001421e+00 -1.556318841668122843e-01
4.562500000000000888e+00 -1.541563692195474511e-01
