# t[Gyr], fraction_in_stars&remnants_thin.d
1.537500000000000311e+00 6.522153894272730845e-01
1.562500000000000222e+00 6.522158194632498018e-01
1.587500000000000355e+00 6.522162505521301723e-01
1.612500000000000266e+00 6.522166826988046173e-01
1.637500000000000178e+00 6.519031078589245798e-01
1.662500000000000311e+00 6.519035421359923310e-01
1.687500000000000222e+00 6.519039774857274816e-01
1.712500000000000355e+00 6.519044139131561222e-01
1.737500000000000266e+00 6.519048514233392044e-01
1.762500000000000400e+00 6.519052900213726520e-01
1.787500000000000311e+00 6.519057297123880268e-01
1.812500000000000222e+00 6.519061705015523067e-01
1.837500000000000355e+00 6.519066123940684410e-01
1.862500000000000266e+00 6.544025318141128977e-01
1.887500000000000400e+00 6.544029759290881376e-01
1.912500000000000311e+00 6.544034211632442366e-01
1.937500000000000222e+00 6.544038675219316925e-01
1.962500000000000355e+00 6.544043150105389728e-01
1.987500000000000266e+00 6.544047636344921814e-01
2.012500000000000622e+00 6.544052133992563913e-01
2.037500000000000533e+00 6.544056643103353110e-01
2.062500000000000444e+00 6.544061163732715070e-01
2.087500000000000799e+00 6.541084885499155455e-01
2.112500000000000711e+00 6.541089429333534211e-01
2.137500000000000622e+00 6.541093984855158583e-01
2.162500000000000533e+00 6.541098552121058507e-01
2.187500000000000444e+00 6.541103131188679143e-01
2.212500000000000799e+00 6.541107722115875323e-01
2.237500000000000711e+00 6.541112324960923763e-01
2.262500000000000622e+00 6.541116939782520845e-01
2.287500000000000533e+00 6.541121566639791496e-01
2.312500000000000444e+00 6.541126205592290299e-01
2.337500000000000799e+00 6.541130856700005936e-01
2.362500000000000711e+00 6.566938135358849626e-01
2.387500000000000622e+00 6.566942810958729115e-01
2.412500000000000533e+00 6.566947498896444912e-01
2.437500000000000444e+00 6.566952199233767606e-01
2.462500000000000799e+00 6.566956912032924087e-01
2.487500000000000711e+00 6.566961637356603099e-01
2.512500000000000622e+00 6.566966375267956346e-01
2.537500000000000533e+00 6.566971125830607381e-01
2.562500000000000888e+00 6.566975889108651598e-01
2.587500000000000799e+00 6.566980665166666231e-01
2.612500000000000711e+00 6.566985454069711459e-01
2.637500000000000622e+00 6.564168969544954546e-01
2.662500000000000533e+00 6.564173784335197714e-01
2.687500000000000888e+00 6.564178612168602989e-01
2.712500000000000799e+00 6.564183453112212296e-01
2.737500000000000711e+00 6.564188307233578268e-01
2.762500000000000622e+00 6.564193174600765346e-01
2.787500000000000533e+00 6.564198055282359778e-01
2.812500000000000888e+00 6.564202949347468508e-01
2.837500000000000799e+00 6.564207856865730273e-01
2.862500000000000711e+00 6.592832753529378476e-01
2.887500000000000622e+00 6.592837688164998600e-01
2.912500000000000533e+00 6.590863026641675670e-01
