# t[Gyr], [Fe/H]
3.787500000000000977e+00 -1.570293394539641618e-01
3.812500000000000888e+00 -1.560804852241614304e-01
3.837500000000000799e+00 -1.551369546992153459e-01
3.862500000000000711e+00 -1.541986873406162306e-01
3.887500000000001066e+00 -1.532656236589326759e-01
3.912500000000000977e+00 -1.523377051893156364e-01
3.937500000000000888e+00 -1.514148744677212000e-01
3.962500000000000799e+00 -1.504970750078298281e-01
3.987500000000001155e+00 -1.495842512786324796e-01
4.012500000000001066e+00 -1.486763486826653269e-01
4.037500000000000533e+00 -1.477733135348671401e-01
4.062500000000000888e+00 -1.468750930420388012e-01
4.087500000000001243e+00 -1.459816352828864072e-01
4.112500000000000711e+00 -1.450928891886233141e-01
4.137500000000001066e+00 -1.442088045241176342e-01
4.162500000000001421e+00 -1.433293318695618712e-01
4.187500000000000888e+00 -1.424544226026518146e-01
4.212500000000001243e+00 -1.415840288812537651e-01
4.237500000000000711e+00 -1.407181036265465757e-01
4.262500000000001066e+00 -1.398566005066206319e-01
4.287500000000001421e+00 -1.389994739205217267e-01
4.312500000000000888e+00 -1.381466789827223984e-01
4.337500000000001243e+00 -1.372981715080090759e-01
4.362500000000000711e+00 -1.364539079967698743e-01
4.387500000000001066e+00 -1.356138456206718856e-01
4.412500000000001421e+00 -1.347779422087147516e-01
4.437500000000000888e+00 -1.339461562336478062e-01
4.462500000000001243e+00 -1.331184467987414632e-01
4.487500000000000711e+00 -1.322947736248994977e-01
4.512500000000001066e+00 -1.314750970381032280e-01
4.537500000000001421e+00 -1.306593779571761926e-01
4.562500000000000888e+00 -1.298475778818605209e-01
4.587500000000001243e+00 -1.290396588811944523e-01
4.612500000000000711e+00 -1.282355835821820667e-01
4.637500000000001066e+00 -1.274353151587485078e-01
4.662500000000001421e+00 -1.266388173209661849e-01
4.687500000000000888e+00 -1.258460543045527014e-01
4.712500000000001243e+00 -1.250569908606231906e-01
4.737500000000000711e+00 -1.242715922456968797e-01
4.762500000000001066e+00 -1.234898242119458339e-01
4.787500000000001421e+00 -1.227116529976806369e-01
4.812500000000000888e+00 -1.219370453180652764e-01
4.837500000000001243e+00 -1.211659683560562667e-01
4.862500000000000711e+00 -1.203983897535569475e-01
4.887500000000001066e+00 -1.196342776027823490e-01
4.912500000000001421e+00 -1.188736004378291716e-01
4.937500000000000888e+00 -1.181163272264431768e-01
4.962500000000001243e+00 -1.173624273619800484e-01
4.987500000000000711e+00 -1.166118706555528267e-01
5.012500000000001066e+00 -1.158646273283635703e-01
5.037500000000001421e+00 -1.151206680042083097e-01
5.062500000000000888e+00 -1.143799637021589571e-01
5.087500000000001243e+00 -1.136424858294076828e-01
5.112500000000001599e+00 -1.129082061742779780e-01
5.137500000000001066e+00 -1.121770968993910794e-01
5.162500000000001421e+00 -1.114491305349887967e-01
5.187500000000000888e+00 -1.107242799724044019e-01
5.212500000000001243e+00 -1.100025184576797904e-01
5.237500000000001599e+00 -1.092838195853252092e-01
5.262500000000001066e+00 -1.085681572922151533e-01
5.287500000000001421e+00 -1.078555058516210696e-01
5.312500000000000888e+00 -1.071458398673733464e-01
5.337500000000001243e+00 -1.064391342681501179e-01
5.362500000000001599e+00 -1.057353643018913297e-01
5.387500000000001066e+00 -1.050345055303340824e-01
5.412500000000001421e+00 -1.043365338236629247e-01
5.437500000000000888e+00 -1.036414253552776499e-01
5.462500000000001243e+00 -1.029491565966703659e-01
5.487500000000001599e+00 -1.022597043124138239e-01
5.512500000000001066e+00 -1.015730455552532607e-01
5.537500000000001421e+00 -1.008891576613022006e-01
5.562500000000000888e+00 -1.002080182453404522e-01
5.587500000000001243e+00 -9.952960519620789037e-02
5.612500000000001599e+00 -9.885389667229566024e-02
5.637500000000001066e+00 -9.818087109712947402e-02
5.662500000000001421e+00 -9.751050715504515354e-02
5.687500000000000888e+00 -9.684278378695078404e-02
5.712500000000001243e+00 -9.617768018617765813e-02
5.737500000000001599e+00 -9.551517579441391737e-02
5.762500000000001066e+00 -9.485525029772132188e-02
5.787500000000001421e+00 -9.419788362263266379e-02
5.812500000000000888e+00 -9.354305593232568883e-02
5.837500000000001243e+00 -9.289074762287567733e-02
5.862500000000001599e+00 -9.224093931958128600e-02
5.887500000000001066e+00 -9.159361187336402532e-02
5.912500000000001421e+00 -9.094874635723768086e-02
5.937500000000000888e+00 -9.030632406284895553e-02
5.962500000000001243e+00 -8.966632649708329572e-02
5.987500000000001599e+00 -8.902873537873966236e-02
6.012500000000001066e+00 -8.839353263526772420e-02
6.037500000000001421e+00 -8.776070039956934687e-02
6.062500000000001776e+00 -8.713022100686147742e-02
6.087500000000001243e+00 -8.650207699159892516e-02
6.112500000000001599e+00 -8.587625108445562372e-02
6.137500000000001066e+00 -8.525272620936456824e-02
6.162500000000001421e+00 -8.463148548061315279e-02
6.187500000000001776e+00 -8.401251219999238129e-02
6.212500000000001243e+00 -8.339578985400183941e-02
6.237500000000001599e+00 -8.278130211110509840e-02
6.262500000000001066e+00 -8.216903281903750744e-02
6.287500000000001421e+00 -8.155896600216300252e-02
6.312500000000001776e+00 -8.095108585888145802e-02
6.337500000000001243e+00 -8.034537675908168253e-02
6.362500000000001599e+00 -7.974182324164375002e-02
6.387500000000001066e+00 -7.914041001198469927e-02
6.412500000000001421e+00 -7.854112193965046007e-02
6.437500000000001776e+00 -7.794394405595087005e-02
6.462500000000001243e+00 -7.734886155163826771e-02
6.487500000000001599e+00 -7.675585977462624776e-02
6.512500000000001066e+00 -7.616492422775215931e-02
6.537500000000001421e+00 -7.557604056657646341e-02
6.562500000000001776e+00 -7.498919459722387659e-02
6.587500000000001243e+00 -7.440437227426180411e-02
6.612500000000001599e+00 -7.382155969861536882e-02
6.637500000000001066e+00 -7.324074311552196404e-02
6.662500000000001421e+00 -7.266190891251853023e-02
6.687500000000001776e+00 -7.208504361746596867e-02
6.712500000000001243e+00 -7.151013389660852704e-02
6.737500000000001599e+00 -7.093716655266409099e-02
