# t[Gyr], [Fe/H]
2.337500000000000799e+00 -1.099560319279843323e+00
2.362500000000000711e+00 -1.101455194287688233e+00
2.387500000000000622e+00 -1.103341460866702262e+00
2.412500000000000533e+00 -1.105219274862902390e+00
2.437500000000000444e+00 -1.107088787910837313e+00
2.462500000000000799e+00 -1.108950147589951252e+00
2.487500000000000711e+00 -1.110803497573616294e+00
2.512500000000000622e+00 -1.112648977771253600e+00
2.537500000000000533e+00 -1.114486724463926048e+00
2.562500000000000888e+00 -1.116316870433764485e+00
2.587500000000000799e+00 -1.118139545087563969e+00
2.612500000000000711e+00 -1.119954874574871750e+00
2.637500000000000622e+00 -1.121762981900853440e+00
2.662500000000000533e+00 -1.123563987034222889e+00
2.687500000000000888e+00 -1.125358007010495154e+00
2.712500000000000799e+00 -1.127145156030802120e+00
2.737500000000000711e+00 -1.128925545556507259e+00
2.762500000000000622e+00 -1.130699284399827587e+00
2.787500000000000533e+00 -1.132466478810671529e+00
2.812500000000000888e+00 -1.134227232559882559e+00
2.837500000000000799e+00 -1.135981647019062457e+00
2.862500000000000711e+00 -1.137729821237151828e+00
2.887500000000000622e+00 -1.139471852013920650e+00
2.912500000000000533e+00 -1.141207833970519614e+00
2.937500000000000888e+00 -1.142937859617240148e+00
2.962500000000000799e+00 -1.144662019418606125e+00
2.987500000000000711e+00 -1.146380401855932929e+00
3.012500000000000622e+00 -1.148093093487468908e+00
3.037500000000000977e+00 -1.149800179006231327e+00
3.062500000000000888e+00 -1.151501741295644976e+00
3.087500000000000799e+00 -1.153197861483083564e+00
3.112500000000000711e+00 -1.154888618991409821e+00
3.137500000000000622e+00 -1.156574091588603137e+00
3.162500000000000977e+00 -1.158254355435561100e+00
3.187500000000000888e+00 -1.159929485132157989e+00
3.212500000000000799e+00 -1.161599553761632819e+00
3.237500000000000711e+00 -1.163264632933384224e+00
3.262500000000000622e+00 -1.164924792824237887e+00
3.287500000000000977e+00 -1.166580102218255366e+00
3.312500000000000888e+00 -1.168230628545142924e+00
3.337500000000000799e+00 -1.169876437917323875e+00
3.362500000000000711e+00 -1.171517595165727288e+00
3.387500000000000622e+00 -1.173154163874347677e+00
3.412500000000000977e+00 -1.174786206413629630e+00
3.437500000000000888e+00 -1.176413783972717786e+00
3.462500000000000799e+00 -1.178036956590630346e+00
3.487500000000000711e+00 -1.179655783186386531e+00
3.512500000000001066e+00 -1.181270321588142380e+00
3.537500000000000977e+00 -1.182880628561364666e+00
3.562500000000000888e+00 -1.184486759836088643e+00
3.587500000000000799e+00 -1.186088770133290282e+00
3.612500000000000711e+00 -1.187686713190409860e+00
3.637500000000001066e+00 -1.189280641786061965e+00
3.662500000000000977e+00 -1.190870607763959033e+00
3.687500000000000888e+00 -1.192456662056081251e+00
3.712500000000000799e+00 -1.194038854705121500e+00
3.737500000000000711e+00 -1.195617234886233282e+00
3.762500000000001066e+00 -1.197191850928104540e+00
3.787500000000000977e+00 -1.198762750333385974e+00
3.812500000000000888e+00 -1.200329979798498758e+00
3.837500000000000799e+00 -1.201893585232837847e+00
3.862500000000000711e+00 -1.203453611777401733e+00
3.887500000000001066e+00 -1.205010103822864664e+00
3.912500000000000977e+00 -1.206563105027109506e+00
3.937500000000000888e+00 -1.208112658332246570e+00
3.962500000000000799e+00 -1.209658805981131735e+00
3.987500000000001155e+00 -1.211201589533403400e+00
