# t[Gyr], h[pc]_thin.d
2.362500000000000711e+00 5.434068030678110972e+02
2.387500000000000622e+00 5.428143227620017797e+02
2.412500000000000533e+00 5.422211231353317089e+02
2.437500000000000444e+00 5.416272019723448921e+02
2.462500000000000799e+00 5.410325570437088345e+02
2.487500000000000711e+00 5.404371861060909623e+02
2.512500000000000622e+00 5.398410869020327709e+02
2.537500000000000533e+00 5.392442571598223822e+02
2.562500000000000888e+00 5.386466945933666466e+02
2.587500000000000799e+00 5.380483969020609720e+02
2.612500000000000711e+00 5.374493617706590385e+02
2.637500000000000622e+00 5.368495868691386477e+02
2.662500000000000533e+00 5.362490698525691641e+02
2.687500000000000888e+00 5.356478083609742953e+02
2.712500000000000799e+00 5.350458000191961219e+02
2.737500000000000711e+00 5.344430424367561727e+02
2.762500000000000622e+00 5.338395332077147941e+02
2.787500000000000533e+00 5.332352699105299507e+02
2.812500000000000888e+00 5.326302501079132981e+02
2.837500000000000799e+00 5.320244713466853455e+02
2.862500000000000711e+00 5.314179311576292548e+02
2.887500000000000622e+00 5.308106270553417971e+02
2.912500000000000533e+00 5.302025565380840817e+02
2.937500000000000888e+00 5.295937170876297841e+02
2.962500000000000799e+00 5.289841061691109871e+02
2.987500000000000711e+00 5.283737212308644757e+02
3.012500000000000622e+00 5.277625597042734853e+02
3.037500000000000977e+00 5.271506190036097905e+02
3.062500000000000888e+00 5.265378965258729522e+02
3.087500000000000799e+00 5.259243896506278588e+02
3.112500000000000711e+00 5.253100957398407900e+02
3.137500000000000622e+00 5.246950121377132064e+02
3.162500000000000977e+00 5.240791361705136069e+02
3.187500000000000888e+00 5.234624651464077942e+02
3.212500000000000799e+00 5.228449963552861846e+02
3.237500000000000711e+00 5.222267270685912308e+02
3.262500000000000622e+00 5.216076545391400714e+02
3.287500000000000977e+00 5.209877760009476333e+02
3.312500000000000888e+00 5.203670886690456427e+02
3.337500000000000799e+00 5.197455897393004989e+02
3.362500000000000711e+00 5.191232763882297832e+02
3.387500000000000622e+00 5.185001457728145624e+02
3.412500000000000977e+00 5.178761950303116919e+02
3.437500000000000888e+00 5.172514212780616845e+02
3.462500000000000799e+00 5.166258216132964662e+02
3.487500000000000711e+00 5.159993931129438351e+02
3.512500000000001066e+00 5.153721328334286227e+02
3.537500000000000977e+00 5.147440378104734009e+02
3.562500000000000888e+00 5.141151050588955513e+02
3.587500000000000799e+00 5.134853315724020604e+02
3.612500000000000711e+00 5.128547143233823817e+02
3.637500000000001066e+00 5.122232502626977748e+02
3.662500000000000977e+00 5.115909363194692787e+02
3.687500000000000888e+00 5.109577694008627304e+02
3.712500000000000799e+00 5.103237463918701451e+02
3.737500000000000711e+00 5.096888641550899024e+02
3.762500000000001066e+00 5.090531195305042047e+02
3.787500000000000977e+00 5.084165093352521012e+02
3.812500000000000888e+00 5.077790303634013753e+02
3.837500000000000799e+00 5.071406793857176467e+02
3.862500000000000711e+00 5.065014531494293237e+02
3.887500000000001066e+00 5.058613483779912485e+02
3.912500000000000977e+00 5.052203617708435104e+02
3.937500000000000888e+00 5.045784900031696907e+02
3.962500000000000799e+00 5.039357297256500487e+02
3.987500000000001155e+00 5.032920775642123203e+02
4.012500000000001066e+00 5.026475301197795034e+02
4.037500000000000533e+00 5.020020839680150857e+02
4.062500000000000888e+00 5.013557356590633276e+02
4.087500000000001243e+00 5.007084817172883504e+02
4.112500000000000711e+00 5.000603186410078820e+02
4.137500000000001066e+00 4.994112429022259789e+02
4.162500000000001421e+00 4.987612509463601782e+02
4.187500000000000888e+00 4.981103391919660339e+02
4.212500000000001243e+00 4.974585040304585277e+02
4.237500000000000711e+00 4.968057418258296138e+02
4.262500000000001066e+00 4.961520489143618420e+02
4.287500000000001421e+00 4.954974216043381716e+02
4.312500000000000888e+00 4.948418561757495127e+02
4.337500000000001243e+00 4.941853488799965817e+02
4.362500000000000711e+00 4.935278959395880634e+02
4.387500000000001066e+00 4.928694935478374646e+02
4.412500000000001421e+00 4.922101378685518398e+02
4.437500000000000888e+00 4.915498250357198344e+02
4.462500000000001243e+00 4.908885511531943848e+02
4.487500000000000711e+00 4.902263122943711551e+02
4.512500000000001066e+00 4.895631045018627674e+02
4.537500000000001421e+00 4.888989237871689397e+02
4.562500000000000888e+00 4.882337661303422465e+02
4.587500000000001243e+00 4.875676274796492180e+02
4.612500000000000711e+00 4.869005037512274612e+02
4.637500000000001066e+00 4.862323908287369818e+02
4.662500000000001421e+00 4.855632845630086649e+02
4.687500000000000888e+00 4.848931807716863318e+02
4.712500000000001243e+00 4.842220752388643064e+02
4.737500000000000711e+00 4.835499637147222529e+02
4.762500000000001066e+00 4.828768419151505213e+02
4.787500000000001421e+00 4.822027055213759468e+02
4.812500000000000888e+00 4.815275501795772470e+02
4.837500000000001243e+00 4.808513715004996811e+02
4.862500000000000711e+00 4.801741650590610107e+02
4.887500000000001066e+00 4.794959263939539937e+02
4.912500000000001421e+00 4.788166510072430242e+02
4.937500000000000888e+00 4.781363343639542336e+02
4.962500000000001243e+00 4.774549718916615575e+02
4.987500000000000711e+00 4.767725589800659804e+02
5.012500000000001066e+00 4.760890909805680735e+02
5.037500000000001421e+00 4.754045632058370074e+02
5.062500000000000888e+00 4.747189709293709825e+02
5.087500000000001243e+00 4.740323093850535088e+02
5.112500000000001599e+00 4.733445737667012736e+02
5.137500000000001066e+00 4.726557592276078026e+02
5.162500000000001421e+00 4.719658608800789921e+02
5.187500000000000888e+00 4.712748737949627298e+02
5.212500000000001243e+00 4.705827930011723765e+02
5.237500000000001599e+00 4.698896134852017212e+02
5.262500000000001066e+00 4.691953301906343654e+02
5.287500000000001421e+00 4.684999380176456611e+02
5.312500000000000888e+00 4.678034318224978847e+02
5.337500000000001243e+00 4.671058064170264288e+02
5.362500000000001599e+00 4.664070565681207654e+02
5.387500000000001066e+00 4.657071769971957451e+02
5.412500000000001421e+00 4.650061623796569279e+02
5.437500000000000888e+00 4.643040073443570463e+02
5.462500000000001243e+00 4.636007064730438856e+02
5.487500000000001599e+00 4.628962542998016261e+02
5.512500000000001066e+00 4.621906453104822958e+02
5.537500000000001421e+00 4.614838739421300602e+02
5.562500000000000888e+00 4.607759345823951662e+02
5.587500000000001243e+00 4.600668215689412364e+02
5.612500000000001599e+00 4.593565291888423303e+02
5.637500000000001066e+00 4.586450516779701729e+02
5.662500000000001421e+00 4.579323832203742768e+02
5.687500000000000888e+00 4.572185179476509234e+02
5.712500000000001243e+00 4.565034499383020830e+02
5.737500000000001599e+00 4.557871732170866039e+02
5.762500000000001066e+00 4.550696817543597490e+02
5.787500000000001421e+00 4.543509694654028976e+02
5.812500000000000888e+00 4.536310302097428462e+02
5.837500000000001243e+00 4.529098577904607055e+02
5.862500000000001599e+00 4.521874459534899415e+02
5.887500000000001066e+00 4.514637883869037864e+02
5.912500000000001421e+00 4.507388787201902574e+02
5.937500000000000888e+00 4.500127105235176828e+02
5.962500000000001243e+00 4.492852773069864725e+02
5.987500000000001599e+00 4.485565725198703717e+02
6.012500000000001066e+00 4.478265895498456075e+02
6.037500000000001421e+00 4.470953217222074727e+02
6.062500000000001776e+00 4.463627622990730970e+02
6.087500000000001243e+00 4.456289044785740998e+02
6.112500000000001599e+00 4.448937413940334977e+02
6.137500000000001066e+00 4.441572661131309019e+02
6.162500000000001421e+00 4.434194716370530500e+02
6.187500000000001776e+00 4.426803508996316623e+02
6.212500000000001243e+00 4.419398967664659494e+02
6.237500000000001599e+00 4.411981020340309101e+02
6.262500000000001066e+00 4.404549594287724403e+02
6.287500000000001421e+00 4.397104616061840829e+02
6.312500000000001776e+00 4.389646011498722373e+02
6.337500000000001243e+00 4.382173705706028386e+02
6.362500000000001599e+00 4.374687623053334278e+02
6.387500000000001066e+00 4.367187687162287375e+02
6.412500000000001421e+00 4.359673820896589973e+02
6.437500000000001776e+00 4.352145946351820385e+02
6.462500000000001243e+00 4.344603984845077775e+02
6.487500000000001599e+00 4.337047856904439982e+02
6.512500000000001066e+00 4.329477482258260466e+02
6.537500000000001421e+00 4.321892779824258355e+02
6.562500000000001776e+00 4.314293667698437957e+02
6.587500000000001243e+00 4.306680063143799089e+02
6.612500000000001599e+00 4.299051882578863228e+02
6.637500000000001066e+00 4.291409041565992766e+02
6.662500000000001421e+00 4.283751454799505041e+02
6.687500000000001776e+00 4.276079036093569812e+02
6.712500000000001243e+00 4.268391698369916298e+02
6.737500000000001599e+00 4.260689353645273627e+02
6.762500000000001066e+00 4.252971913018645864e+02
6.787500000000001421e+00 4.245239286658306810e+02
6.812500000000001776e+00 4.237491383788592429e+02
6.837500000000001243e+00 4.229728112676439764e+02
6.862500000000001599e+00 4.221949380617678571e+02
