# t[Gyr], SFR_thick.d[Msun/pc^2/Gyr]
3.312500000000000888e+00 1.116016346966908906e-02
3.337500000000000799e+00 1.028151172164410050e-02
3.362500000000000711e+00 9.462252278536538441e-03
3.387500000000000622e+00 8.698374097161037932e-03
3.412500000000000977e+00 7.986128267674216449e-03
3.437500000000000888e+00 7.322011594559651310e-03
3.462500000000000799e+00 6.702751143289966546e-03
3.487500000000000711e+00 6.125289701542047452e-03
3.512500000000001066e+00 5.586772106012183672e-03
3.537500000000000977e+00 5.084532388010700940e-03
3.562500000000000888e+00 4.616081693106600936e-03
3.587500000000000799e+00 4.179096932134087998e-03
3.612500000000000711e+00 3.771410122861935249e-03
3.637500000000001066e+00 3.390998383559628172e-03
3.662500000000000977e+00 3.035974541567744087e-03
3.687500000000000888e+00 2.704578321793534110e-03
3.712500000000000799e+00 2.395168081803310690e-03
3.737500000000000711e+00 2.106213061871087255e-03
3.762500000000001066e+00 1.836286119967483555e-03
3.787500000000000977e+00 1.584056923233554846e-03
3.812500000000000888e+00 1.348285568982330934e-03
3.837500000000000799e+00 1.127816609706076443e-03
3.862500000000000711e+00 9.215734579411510039e-04
3.887500000000001066e+00 7.285531481557787174e-04
3.912500000000000977e+00 5.478214340800650634e-04
3.937500000000000888e+00 3.785082010941747343e-04
3.962500000000000799e+00 2.198031744306552457e-04
3.987500000000001155e+00 7.095190503249837173e-05
