# t[Gyr], SFR_thin.d[Msun/pc^2/Gyr]
5.362500000000001599e+00 4.125045684374731181e+00
5.387500000000001066e+00 4.111931130058716022e+00
5.412500000000001421e+00 4.098799542727138423e+00
5.437500000000000888e+00 4.085652338974152364e+00
5.462500000000001243e+00 4.072490905976186681e+00
5.487500000000001599e+00 4.059316602005740293e+00
5.512500000000001066e+00 4.046130756937109219e+00
5.537500000000001421e+00 4.032934672744214133e+00
5.562500000000000888e+00 4.019729623990671463e+00
5.587500000000001243e+00 4.006516858312153317e+00
5.612500000000001599e+00 3.993297596891301815e+00
5.637500000000001066e+00 3.980073034925211584e+00
5.662500000000001421e+00 3.966844342085699804e+00
5.687500000000000888e+00 3.953612662972538327e+00
5.712500000000001243e+00 3.940379117559711819e+00
5.737500000000001599e+00 3.927144801635022553e+00
5.762500000000001066e+00 3.913910787233115585e+00
5.787500000000001421e+00 3.900678123062189417e+00
5.812500000000000888e+00 3.887447834924653289e+00
5.837500000000001243e+00 3.874220926131862530e+00
5.862500000000001599e+00 3.860998377913375634e+00
5.887500000000001066e+00 3.847781149820912461e+00
5.912500000000001421e+00 3.834570180127409689e+00
5.937500000000000888e+00 3.821366386221608291e+00
5.962500000000001243e+00 3.808170664998488331e+00
5.987500000000001599e+00 3.794983893246217654e+00
6.012500000000001066e+00 3.781806928030028381e+00
6.037500000000001421e+00 3.768640607073739268e+00
6.062500000000001776e+00 3.755485749139674923e+00
6.087500000000001243e+00 3.742343154407702155e+00
6.112500000000001599e+00 3.729213604854481723e+00
6.137500000000001066e+00 3.716097864633897796e+00
6.162500000000001421e+00 3.702996680459932577e+00
6.187500000000001776e+00 3.689910781993436473e+00
6.212500000000001243e+00 3.676840882234286401e+00
6.237500000000001599e+00 3.663787677920886665e+00
6.262500000000001066e+00 3.650751849938970839e+00
6.287500000000001421e+00 3.637734063742103174e+00
6.312500000000001776e+00 3.624734969786586269e+00
6.337500000000001243e+00 3.611755203983684215e+00
6.362500000000001599e+00 3.598795388172748133e+00
6.387500000000001066e+00 3.585856130618934934e+00
6.412500000000001421e+00 3.572938026540002365e+00
6.437500000000001776e+00 3.560041658667036923e+00
6.462500000000001243e+00 3.547167597844576470e+00
6.487500000000001599e+00 3.534316403676400320e+00
6.512500000000001066e+00 3.521488625223781366e+00
6.537500000000001421e+00 3.508684801763962913e+00
6.562500000000001776e+00 3.495905463617475117e+00
6.587500000000001243e+00 3.483151133053701276e+00
6.612500000000001599e+00 3.470422325285421827e+00
6.637500000000001066e+00 3.457719549563899708e+00
6.662500000000001421e+00 3.445043310387454039e+00
6.687500000000001776e+00 3.432394108837720115e+00
6.712500000000001243e+00 3.419772444059086869e+00
6.737500000000001599e+00 3.407178814898442987e+00
6.762500000000001066e+00 3.394613721723714228e+00
6.787500000000001421e+00 3.382077668441460183e+00
6.812500000000001776e+00 3.369571164735444935e+00
6.837500000000001243e+00 3.357094728549821383e+00
6.862500000000001599e+00 3.344648888842554069e+00
6.887500000000001954e+00 3.332234188636378658e+00
6.912500000000001421e+00 3.319851188396702124e+00
6.937500000000001776e+00 3.307500469767625351e+00
6.962500000000001243e+00 3.295182639699266947e+00
6.987500000000001599e+00 3.282898335001426471e+00
7.012500000000001954e+00 3.270648227360405169e+00
7.037500000000001421e+00 3.258433028857552927e+00
7.062500000000001776e+00 3.246253498029704865e+00
7.087500000000001243e+00 3.234110446513004167e+00
7.112500000000001599e+00 3.222004746312890688e+00
7.137500000000001954e+00 3.209937337743825836e+00
7.162500000000001421e+00 3.197909238082969452e+00
7.187500000000001776e+00 3.185921550982187433e+00
7.212500000000001243e+00 3.173975476682432184e+00
7.237500000000001599e+00 3.162072323073848779e+00
7.262500000000001954e+00 3.150213517643377870e+00
7.287500000000001421e+00 3.138400620349708348e+00
7.312500000000001776e+00 3.126635337462494224e+00
7.337500000000001243e+00 3.114919536399061606e+00
7.362500000000001599e+00 3.103255261587350322e+00
7.387500000000001954e+00 3.091644751378072264e+00
7.412500000000001421e+00 3.080090456022571477e+00
7.437500000000001776e+00 3.068595056724938264e+00
7.462500000000001243e+00 3.057161485767916798e+00
7.487500000000001599e+00 3.045792947701867259e+00
7.512500000000001954e+00 3.034492941574237435e+00
7.537500000000001421e+00 3.023265284164082800e+00
7.562500000000001776e+00 3.012114134171541391e+00
7.587500000000001243e+00 3.001044017296294442e+00
7.612500000000001599e+00 2.990059852121644823e+00
7.637500000000001954e+00 2.979166976701956404e+00
7.662500000000001421e+00 2.968371175731037148e+00
7.687500000000001776e+00 2.957678708147460256e+00
7.712500000000001243e+00 2.947096335009989687e+00
7.737500000000001599e+00 2.936631347452387075e+00
7.762500000000001954e+00 2.926291594501917448e+00
7.787500000000001421e+00 2.916085510520173507e+00
7.812500000000001776e+00 2.906022141998527708e+00
7.837500000000002132e+00 2.896111173413855155e+00
7.862500000000001599e+00 2.886362951823501888e+00
7.887500000000001954e+00 2.876788509851890829e+00
7.912500000000001421e+00 2.867399586695492886e+00
7.937500000000001776e+00 2.858208646747833370e+00
7.962500000000002132e+00 2.849228895422868391e+00
7.987500000000001599e+00 2.840474291733448897e+00
