N,age,FeH,Mini,Mf,logL,logT,logg,phase,G_EDR3,GBP_EDR3,GRP_EDR3,age_WD,disk_label
1.5234211084334216e-07,13.0,-2.7,0.77943569,0.773,1.928,3.7081,2.183,3.0,-0.026,0.372,-0.609,nan,2
1.385655616826838e-07,13.0,-2.7,0.77950382,0.773,1.973,3.7065,2.131,3.0,-0.137,0.265,-0.724,nan,2
1.2294775535523856e-07,13.0,-2.7,0.77956212,0.773,2.015,3.7048,2.082,3.0,-0.239,0.166,-0.83,nan,2
1.1549504777444821e-07,13.0,-2.7,0.779616,0.772,2.057,3.7032,2.034,3.0,-0.342,0.067,-0.936,nan,2
1.0569692927865705e-07,13.0,-2.7,0.7796675,0.772,2.101,3.7017,1.984,3.0,-0.448,-0.036,-1.046,nan,2
9.537273730636293e-08,13.0,-2.7,0.77971244,0.771,2.141,3.7,1.936,3.0,-0.548,-0.131,-1.15,nan,2
9.413427266423883e-08,13.0,-2.7,0.77975452,0.771,2.182,3.6984,1.888,3.0,-0.648,-0.227,-1.254,nan,2
1.0125818432239733e-07,13.0,-2.7,0.77979833,0.77,2.223,3.6969,1.841,3.0,-0.747,-0.322,-1.356,nan,2
7.44722764877894e-08,13.0,-2.7,0.77984691,0.769,2.253,3.6957,1.806,3.0,-0.821,-0.393,-1.433,nan,2
2.716950307759728e-08,13.0,-2.7,0.77986628,0.769,2.249,3.696,1.811,3.0,-0.811,-0.383,-1.422,nan,2
3.90609556148907e-08,13.0,-2.7,0.7798717,0.769,2.255,3.6958,1.804,3.0,-0.827,-0.399,-1.439,nan,2
6.650445529451892e-08,13.0,-2.7,0.77990192,0.768,2.295,3.6941,1.756,3.0,-0.925,-0.492,-1.541,nan,2
6.173691441587076e-08,13.0,-2.7,0.77993238,0.768,2.338,3.6924,1.707,3.0,-1.029,-0.592,-1.649,nan,2
5.6246022506848515e-08,13.0,-2.7,0.77995825,0.767,2.377,3.6907,1.661,3.0,-1.123,-0.681,-1.748,nan,2
5.395541091244858e-08,13.0,-2.7,0.7799837,0.766,2.418,3.6889,1.612,3.0,-1.222,-0.775,-1.85,nan,2
4.8859074110681866e-08,13.0,-2.7,0.78000748,0.765,2.458,3.6873,1.565,3.0,-1.32,-0.869,-1.953,nan,2
4.489065764092763e-08,13.0,-2.7,0.78002828,0.765,2.496,3.6856,1.519,3.0,-1.412,-0.955,-2.05,nan,2
4.217790337194945e-08,13.0,-2.7,0.78004885,0.764,2.537,3.6837,1.471,3.0,-1.51,-1.046,-2.154,nan,2
3.8347494344255397e-08,13.0,-2.7,0.78006715,0.763,2.575,3.6821,1.425,3.0,-1.603,-1.131,-2.253,nan,2
3.614473787809281e-08,13.0,-2.7,0.78008419,0.762,2.613,3.6804,1.38,3.0,-1.695,-1.214,-2.352,nan,2
3.661133161214792e-08,13.0,-2.7,0.78010046,0.76,2.652,3.6786,1.333,3.0,-1.788,-1.297,-2.452,nan,2
3.4224107855620604e-08,13.0,-2.7,0.78011793,0.759,2.697,3.6766,1.28,3.0,-1.895,-1.393,-2.567,nan,2
3.104475985282826e-08,13.0,-2.7,0.780132,0.757,2.736,3.6747,1.232,3.0,-1.986,-1.472,-2.668,nan,2
2.8776897283886372e-08,13.0,-2.7,0.78014654,0.756,2.778,3.6727,1.181,3.0,-2.086,-1.56,-2.778,nan,2
2.619435521974398e-08,13.0,-2.7,0.78015852,0.754,2.816,3.671,1.135,3.0,-2.175,-1.636,-2.876,nan,2
2.4186917060955525e-08,13.0,-2.7,0.78017068,0.752,2.857,3.6688,1.084,3.0,-2.269,-1.714,-2.982,nan,2
2.2505009414377e-08,13.0,-2.7,0.78018081,0.75,2.894,3.6672,1.04,3.0,-2.353,-1.785,-3.076,nan,2
2.322117654133519e-08,13.0,-2.7,0.78019142,0.748,2.934,3.665,0.99,3.0,-2.445,-1.858,-3.181,nan,2
2.121373838206486e-08,13.0,-2.7,0.78020221,0.745,2.978,3.6628,0.935,3.0,-2.544,-1.935,-3.295,nan,2
1.7654604781774595e-08,13.0,-2.7,0.78021097,0.743,3.017,3.6608,0.888,3.0,-2.629,-1.999,-3.394,nan,2
1.6558652057077538e-08,13.0,-2.7,0.78021848,0.74,3.051,3.659,0.844,3.0,-2.704,-2.053,-3.483,nan,2
1.7014394774123232e-08,13.0,-2.7,0.78022623,0.737,3.089,3.6571,0.797,3.0,-2.786,-2.117,-3.578,nan,2
